,#,Dátum,Év,Város,Utca,Keresztutca,Kimenetel,Baleset típus,Ok-csoport,Ok,LAT,LON,Meghaltak,Súlyos,Könnyű,Résztvevők száma,Baleset típus főcsoport,Súlyosság,geometry
10,202,2012-01-30,2012,Budapest VIII. kerület,kőbányai út,,súlyos sérüléses,Gyalogos elütése útkereszteződésen kívül,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4882222222222,19.1005722222222,0,1,0,2,gyalogos,5.0,POINT (19.1005722222222 47.4882222222222)
11,205,2012-01-30,2012,Budapest VIII. kerület,baross tér,,súlyos sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",gyalogosok hibája,tilos jelzésen való áthaladás,47.4995361111111,19.0820944444444,0,1,0,2,gyalogos,5.0,POINT (19.0820944444444 47.4995361111111)
12,207,2012-01-30,2012,Budapest VIII. kerület,kőbányai út,,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",egyenes irányban haladó jármű forgalmának akadályozása,47.4882222222222,19.1005722222222,0,0,4,2,jármű-jármű,4.0,POINT (19.1005722222222 47.4882222222222)
13,236,2012-02-04,2012,Budapest VIII. kerület,kerepesi út,,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt",sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4998333333333,19.1061777777778,0,0,1,2,jármű-jármű,1.0,POINT (19.1061777777778 47.4998333333333)
14,241,2012-02-05,2012,Budapest VIII. kerület,könyves kálmán körút,vajda péter utca,könnyű sérüléses,"Szembe haladó járművek ütközése útkereszteződésben, az egyik résztvevő BALRA kanyarodik",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.48208333333329,19.1038027777778,0,0,1,2,jármű-jármű,1.0,POINT (19.1038027777778 47.48208333333329)
15,244,2012-02-05,2012,Budapest VIII. kerület,baross tér,,könnyű sérüléses,Egyéb szembe haladó járművek ütközése,sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4996305555556,19.0829194444444,0,0,1,1,jármű-jármű,1.0,POINT (19.0829194444444 47.4996305555556)
16,268,2012-02-09,2012,Budapest VIII. kerület,józsef körút,,súlyos sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,tilos jelzésen való áthaladás,47.4962444444444,19.0704333333333,0,1,0,2,gyalogos,5.0,POINT (19.0704333333333 47.4962444444444)
17,322,2012-02-17,2012,Budapest VIII. kerület,baross utca,,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,tiltott helyen való áthaladás,47.4893888888889,19.0781444444444,0,0,1,2,gyalogos,1.0,POINT (19.0781444444444 47.4893888888889)
18,327,2012-02-19,2012,Budapest VIII. kerület,kerepesi út,,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.49953888888889,19.0829416666667,0,0,2,2,jármű-jármű,2.0,POINT (19.0829416666667 47.49953888888889)
19,334,2012-02-19,2012,Budapest VIII. kerület,könyves kálmán körút,vajda péter utca,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,tilos jelzésen való áthaladás,47.4755861111111,19.0986305555556,0,0,1,2,gyalogos,1.0,POINT (19.0986305555556 47.4755861111111)
20,338,2012-02-21,2012,Budapest VIII. kerület,józsef körút,,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4927416666667,19.0710083333333,0,0,1,1,gyalogos,1.0,POINT (19.0710083333333 47.4927416666667)
21,350,2012-02-22,2012,Budapest VIII. kerület,könyves kálmán körút,,könnyű sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű JOBBRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4755861111111,19.0986305555556,0,0,1,2,jármű-jármű,1.0,POINT (19.0986305555556 47.4755861111111)
22,359,2012-02-23,2012,Budapest VIII. kerület,józsef körút,,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,tiltott helyen való áthaladás,47.4961944444444,19.0709138888889,0,0,1,2,gyalogos,1.0,POINT (19.0709138888889 47.4961944444444)
23,360,2012-02-24,2012,Budapest VIII. kerület,üllői út,futó utca,könnyű sérüléses,Egyéb baleset azonos irányba egyenesen haladó járművek között,"irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.48,19.0865805555556,0,0,1,2,jármű-jármű,1.0,POINT (19.0865805555556 47.48)
24,376,2012-02-26,2012,Budapest VIII. kerület,teleki lászló tér,,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,egyéb,egyéb,47.4935555555556,19.0824138888889,0,0,1,1,gyalogos,1.0,POINT (19.0824138888889 47.4935555555556)
25,377,2012-02-27,2012,Budapest VIII. kerület,karácsony sándor utca,magdolna utca,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4908888888889,19.084525,0,0,1,2,jármű-jármű,1.0,POINT (19.084525 47.4908888888889)
26,378,2012-02-27,2012,Budapest VIII. kerület,karácsony sándor utca,kálvária tér,súlyos sérüléses,Azonos irányból érkező járművek ütközése a belső sávban haladó jármű JOBBRA kanyarodik,"irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4892527777778,19.086375,0,1,0,2,jármű-jármű,5.0,POINT (19.086375 47.4892527777778)
27,379,2012-02-27,2012,Budapest VIII. kerület,práter utca,,súlyos sérüléses,"A menetirány szerint JOBB oldalon álló, várakozó jármű, egyéb akadály előtt (mögött) áthaladó gyalogos elütése",gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4867555555556,19.0766,0,1,0,2,gyalogos,5.0,POINT (19.0766 47.4867555555556)
28,384,2012-02-27,2012,Budapest VIII. kerület,magyarok nagyasszonya tér,,könnyű sérüléses,"Pályaelhagyás járművel egyenes úton, menetirány szerinti JOBB oldalon",sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4793,19.0954055555556,0,0,1,1,egy jármű,1.0,POINT (19.0954055555556 47.4793)
29,393,2012-02-28,2012,Budapest VIII. kerület,győrffy istván utca,,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,egyéb,"figyelmetlen, gondatlan vezetés",47.4773888888889,19.0996388888889,0,0,1,1,gyalogos,1.0,POINT (19.0996388888889 47.4773888888889)
30,411,2012-03-02,2012,Budapest VIII. kerület,baross utca,szűz utca,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4893888888889,19.0781444444444,0,0,1,2,jármű-jármű,1.0,POINT (19.0781444444444 47.4893888888889)
31,415,2012-03-02,2012,Budapest VIII. kerület,kerepesi út,,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.49953888888889,19.0829416666667,0,0,1,3,jármű-jármű,1.0,POINT (19.0829416666667 47.49953888888889)
32,446,2012-03-07,2012,Budapest VIII. kerület,diószegi sámuel utca,,könnyű sérüléses,ütközés tolató járművel,"irányváltoztatási, haladási, bekanyarodási hiba",szabálytalan hátramenet,47.4853055555556,19.0899972222222,0,0,1,2,jármű-jármű,1.0,POINT (19.0899972222222 47.4853055555556)
33,460,2012-03-09,2012,Budapest VIII. kerület,kőbányai út,,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.488,19.1018583333333,0,0,1,1,gyalogos,1.0,POINT (19.1018583333333 47.488)
34,485,2012-03-13,2012,Budapest VIII. kerület,práter utca,vajdahunyad utca,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4868027777778,19.0830916666667,0,0,3,2,jármű-jármű,3.0,POINT (19.0830916666667 47.4868027777778)
35,489,2012-03-13,2012,Budapest VIII. kerület,illés utca,kálvária tér,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4868333333333,19.0850472222222,0,0,1,2,jármű-jármű,1.0,POINT (19.0850472222222 47.4868333333333)
36,511,2012-03-16,2012,Budapest VIII. kerület,rákóczi út,,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.",elsőbbség meg nem adása,a forgalomba való bekapcsolódáskor,47.4969,19.0699055555556,0,0,1,2,jármű-jármű,1.0,POINT (19.0699055555556 47.4969)
37,513,2012-03-16,2012,Budapest VIII. kerület,könyves kálmán körút,elnök utca,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4755861111111,19.0986305555556,0,0,2,2,jármű-jármű,2.0,POINT (19.0986305555556 47.4755861111111)
38,529,2012-03-19,2012,Budapest VIII. kerület,hős utca,hungária körút,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4964444444444,19.1088888888889,0,0,4,2,jármű-jármű,4.0,POINT (19.1088888888889 47.4964444444444)
39,533,2012-03-19,2012,Budapest VIII. kerület,baross utca,,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.4893888888889,19.0781444444444,0,0,1,2,gyalogos,1.0,POINT (19.0781444444444 47.4893888888889)
40,577,2012-03-26,2012,Budapest VIII. kerület,baross utca,,súlyos sérüléses,"A menetirány szerint JOBB oldalon álló, várakozó jármű, egyéb akadály előtt (mögött) áthaladó gyalogos elütése",gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4893888888889,19.0781444444444,0,1,0,3,gyalogos,5.0,POINT (19.0781444444444 47.4893888888889)
41,590,2012-03-28,2012,Budapest VIII. kerület,józsef körút,,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4898305555556,19.0706055555556,0,0,1,1,gyalogos,1.0,POINT (19.0706055555556 47.4898305555556)
42,661,2012-04-05,2012,Budapest VIII. kerület,hungária körút,salgótarjáni utca,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4904277777778,19.1087555555556,0,0,1,2,jármű-jármű,1.0,POINT (19.1087555555556 47.4904277777778)
43,700,2012-04-09,2012,Budapest VIII. kerület,józsef körút,,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",gyalogosok hibája,tilos jelzésen való áthaladás,47.4962444444444,19.0704333333333,0,0,1,2,gyalogos,1.0,POINT (19.0704333333333 47.4962444444444)
44,705,2012-04-11,2012,Budapest VIII. kerület,hungária körút,,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4904277777778,19.1087555555556,0,0,1,2,jármű-jármű,1.0,POINT (19.1087555555556 47.4904277777778)
45,719,2012-04-13,2012,Budapest VIII. kerület,illés utca,,súlyos sérüléses,Egyéb közlekedési baleset gyalogossal,"irányváltoztatási, haladási, bekanyarodási hiba",szabálytalan hátramenet,47.48686666666669,19.0850388888889,0,1,0,1,gyalogos,5.0,POINT (19.0850388888889 47.48686666666669)
46,725,2012-04-13,2012,Budapest VIII. kerület,hungária körút,,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4897694444444,19.1087305555556,0,0,1,4,jármű-jármű,1.0,POINT (19.1087305555556 47.4897694444444)
47,753,2012-04-17,2012,Budapest VIII. kerület,hungária körút,,súlyos sérüléses,Egyéb közlekedési baleset gyalogossal,egyéb,"figyelmetlen, gondatlan vezetés",47.4904277777778,19.1087555555556,0,1,0,1,gyalogos,5.0,POINT (19.1087555555556 47.4904277777778)
48,772,2012-04-19,2012,Budapest VIII. kerület,bérkocsis utca,józsef körút,súlyos sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4935805555556,19.0710472222222,0,1,0,2,jármű-jármű,5.0,POINT (19.0710472222222 47.4935805555556)
49,790,2012-04-21,2012,Budapest VIII. kerület,józsef körút,,könnyű sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű BALRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",szabálytalan megfordulás,47.4927416666667,19.0710083333333,0,0,1,3,jármű-jármű,1.0,POINT (19.0710083333333 47.4927416666667)
50,807,2012-04-23,2012,Budapest VIII. kerület,kőbányai út,,súlyos sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4865083333333,19.1076666666667,0,1,0,1,gyalogos,5.0,POINT (19.1076666666667 47.4865083333333)
51,817,2012-04-24,2012,Budapest VIII. kerület,baross tér,,könnyű sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, mindkét jármű JOBBRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4996111111111,19.0806083333333,0,0,1,2,jármű-jármű,1.0,POINT (19.0806083333333 47.4996111111111)
52,839,2012-04-26,2012,Budapest VIII. kerület,hungária körút,,könnyű sérüléses,"Keresztirányból érkező szembe haladó járművek ütközése, az egyik jármű JOBBRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",a balra kanyarodó jármű vezetője a  szemben egyenesen haladó és jobbra kanyarodó járműnek nem biztosított elsőbbséget,47.4904277777778,19.1087555555556,0,0,1,2,jármű-jármű,1.0,POINT (19.1087555555556 47.4904277777778)
53,865,2012-04-28,2012,Budapest VIII. kerület,rákóczi út,,könnyű sérüléses,Utoléréses ütközés két vagy több mozgásban lévő résztvevővel,egyéb,"figyelmetlen, gondatlan vezetés",47.4969,19.0699055555556,0,0,1,2,jármű-jármű,1.0,POINT (19.0699055555556 47.4969)
54,922,2012-05-04,2012,Budapest VIII. kerület,fiumei út,,könnyű sérüléses,Utoléréses ütközés két vagy több mozgásban lévő résztvevővel,"irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4926111111111,19.0876083333333,0,0,1,6,jármű-jármű,1.0,POINT (19.0876083333333 47.4926111111111)
55,924,2012-05-04,2012,Budapest VIII. kerület,üllői út,,könnyű sérüléses,ütközés két jármű egyidejű forgalmi sávváltása közben,"irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4869472222222,19.0673083333333,0,0,1,2,jármű-jármű,1.0,POINT (19.0673083333333 47.4869472222222)
56,957,2012-05-08,2012,Budapest VIII. kerület,szentkirályi utca,,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4946027777778,19.0646777777778,0,0,1,1,gyalogos,1.0,POINT (19.0646777777778 47.4946027777778)
57,960,2012-05-09,2012,Budapest VIII. kerület,fecske utca,bérkocsis utca,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a forgalomba való bekapcsolódáskor,47.4947583333333,19.0750861111111,0,0,1,2,jármű-jármű,1.0,POINT (19.0750861111111 47.4947583333333)
58,985,2012-05-11,2012,Budapest VIII. kerület,kerepesi út,fiumei út,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",gyalogosok hibája,tilos jelzésen való áthaladás,47.49953888888889,19.0829416666667,0,0,1,2,gyalogos,1.0,POINT (19.0829416666667 47.49953888888889)
59,990,2012-05-11,2012,Budapest VIII. kerület,fiumei út,,könnyű sérüléses,Utoléréses ütközés két vagy több mozgásban lévő résztvevővel,"irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4960055555556,19.0839222222222,0,0,3,2,jármű-jármű,3.0,POINT (19.0839222222222 47.4960055555556)
60,994,2012-05-11,2012,Budapest VIII. kerület,szigony utca,,könnyű sérüléses,"A menetirány szerint JOBB oldalon álló, várakozó jármű, egyéb akadály előtt (mögött) áthaladó gyalogos elütése",gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4843694444444,19.0799694444444,0,0,1,2,gyalogos,1.0,POINT (19.0799694444444 47.4843694444444)
61,998,2012-05-11,2012,Budapest VIII. kerület,gázláng utca,,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a forgalomba való bekapcsolódáskor,47.4970555555556,19.077275,0,0,1,2,jármű-jármű,1.0,POINT (19.077275 47.4970555555556)
62,1014,2012-05-13,2012,Budapest VIII. kerület,baross utca,illés utca,könnyű sérüléses,"Szembe haladó járművek ütközése útkereszteződésben, az egyik résztvevő BALRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",a balra kanyarodó jármű vezetője a  szemben egyenesen haladó és jobbra kanyarodó járműnek nem biztosított elsőbbséget,47.4893888888889,19.0781444444444,0,0,3,3,jármű-jármű,3.0,POINT (19.0781444444444 47.4893888888889)
63,1027,2012-05-14,2012,Budapest VIII. kerület,üllői út,,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4800083333333,19.0865722222222,0,0,1,1,gyalogos,1.0,POINT (19.0865722222222 47.4800083333333)
64,1045,2012-05-16,2012,Budapest VIII. kerület,százados út,,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4936916666667,19.1077194444444,0,0,1,2,jármű-jármű,1.0,POINT (19.1077194444444 47.4936916666667)
65,1051,2012-05-17,2012,Budapest VIII. kerület,rákóczi út,,könnyű sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű BALRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba","jobbra kis ívű, balra nagy ívű kanyarodási szabály megszegése",47.4969,19.0699055555556,0,0,2,2,jármű-jármű,2.0,POINT (19.0699055555556 47.4969)
66,1089,2012-05-21,2012,Budapest VIII. kerület,illés utca,,könnyű sérüléses,Menetirány szerint a JOBB oldalon várakozó járműnek ütközés,egyéb,egyéb,47.4844416666667,19.0855555555556,0,0,1,2,jármű-jármű,1.0,POINT (19.0855555555556 47.4844416666667)
67,1095,2012-05-21,2012,Budapest VIII. kerület,hungária körút,,könnyű sérüléses,Utoléréses ütközés két vagy több mozgásban lévő résztvevővel,"irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4904277777778,19.1087555555556,0,0,1,2,jármű-jármű,1.0,POINT (19.1087555555556 47.4904277777778)
68,1104,2012-05-22,2012,Budapest VIII. kerület,kerepesi út,,könnyű sérüléses,Azonos irányból érkező járművek ütközése a belső sávban haladó jármű JOBBRA kanyarodik,"irányváltoztatási, haladási, bekanyarodási hiba","jobbra kis ívű, balra nagy ívű kanyarodási szabály megszegése",47.49953888888889,19.0829416666667,0,0,2,2,jármű-jármű,2.0,POINT (19.0829416666667 47.49953888888889)
69,1136,2012-05-25,2012,Budapest VIII. kerület,józsef körút,,súlyos sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,tiltott helyen való áthaladás,47.4962444444444,19.0704333333333,0,1,0,2,gyalogos,5.0,POINT (19.0704333333333 47.4962444444444)
70,1160,2012-05-29,2012,Budapest VIII. kerület,kálvária tér,diószegi sámuel utca,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4884333333333,19.08765,0,0,1,1,gyalogos,1.0,POINT (19.08765 47.4884333333333)
71,1163,2012-05-29,2012,Budapest VIII. kerület,kőbányai út,orczy út,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4865083333333,19.1076666666667,0,0,1,2,jármű-jármű,1.0,POINT (19.1076666666667 47.4865083333333)
72,1180,2012-05-31,2012,Budapest VIII. kerület,vajda péter utca,,könnyű sérüléses,Gyalogos elütése útkereszteződésen kívül,gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4841111111111,19.0978583333333,0,0,1,2,gyalogos,1.0,POINT (19.0978583333333 47.4841111111111)
73,1211,2012-06-04,2012,Budapest VIII. kerület,bérkocsis utca,auróra utca,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4935805555556,19.0710472222222,0,0,1,2,jármű-jármű,1.0,POINT (19.0710472222222 47.4935805555556)
74,1226,2012-06-05,2012,Budapest VIII. kerület,rákóczi út,szentkirályi utca,súlyos sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű JOBBRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4969,19.0699055555556,0,1,0,2,jármű-jármű,5.0,POINT (19.0699055555556 47.4969)
75,1248,2012-06-07,2012,Budapest VIII. kerület,múzeum körút,,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4941444444444,19.0603861111111,0,0,1,1,gyalogos,1.0,POINT (19.0603861111111 47.4941444444444)
76,1254,2012-06-07,2012,Budapest VIII. kerület,könyves kálmán körút,,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4790777777778,19.1011972222222,0,0,1,4,jármű-jármű,1.0,POINT (19.1011972222222 47.4790777777778)
77,1267,2012-06-09,2012,Budapest VIII. kerület,verseny utca,,súlyos sérüléses,"Pályaelhagyás járművel egyenes úton, a menetirány szerinti JOBB oldalon és szilárd tárgynak ütközés az útpályán kívül (fa, oszlop, támfal stb.)",sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.5017027777778,19.0853944444444,0,1,1,1,egy jármű,6.0,POINT (19.0853944444444 47.5017027777778)
78,1281,2012-06-10,2012,Budapest VIII. kerület,fiumei út,festetics györgy utca,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4960055555556,19.0839222222222,0,0,1,2,jármű-jármű,1.0,POINT (19.0839222222222 47.4960055555556)
79,1293,2012-06-11,2012,Budapest VIII. kerület,józsef körút,,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,tilos jelzésen való áthaladás,47.49718888888889,19.0706583333333,0,0,2,2,gyalogos,2.0,POINT (19.0706583333333 47.49718888888889)
